sigma_T,P_exceed,max_Tmax,VaR95,CVaR95
0.5,0.0,335.93672694655004,335.92798892882485,335.9308058702345
1,0.0,335.95969586746656,335.94343103701607,335.9483525751884
2,0.0033333333333333335,336.0069108797291,335.9750663349553,335.98565880455266
3,0.07333333333333333,336.0554620719544,336.00882824433586,336.02413087607323
4,0.15,336.10401488777086,336.0418807740819,336.0643013739396
5,0.25333333333333335,336.1525693311343,336.0769313828018,336.1059337886338
6,0.38333333333333336,336.20112540601167,336.11160506118046,336.14792326475055
8,0.5333333333333333,336.3151120431131,336.18251530326415,336.2336507723182
10,0.6466666666666666,336.43162585254305,336.25897608852136,336.3290757917202
